time,77470,76430,76500,76900,161530,161680,162420,162450,162890,163100,164290,164050,77650,77800,77610,165600,165460,165200,604900,603900,604020,603600,607150,6155A,6325O,7031,8019,8025,8414A,8416,8500A,9981A,0016A,76,0200E,B893,B278,B228,B954
1981-01-01,N,N,N,N,N,N,N,N,NW,C,NW,NW,N,N,N,N,N,N,A,N,N,N,N,ANE,NE,NE,NE,N,N,N,AN,AN,N,N,N,N,N,N,N
1981-01-02,AN,AN,AN,AN,AN,N,N,N,N,N,N,C,N,N,N,N,N,N,A,N,N,N,N,A,ANE,ANE,ANE,ANE,AN,AN,ANE,AN,AN,AN,AN,N,N,N,N
1981-01-03,NW,NW,ANW,ANW,NW,NW,NW,NW,W,W,NW,NW,NW,ANW,NW,ANW,ANW,ANW,A,ANW,NW,ANW,NW,A,A,A,A,A,A,A,A,A,A,ANW,ANW,ANW,ANW,ANW,ANW
1981-01-04,NW,NW,NW,NW,NW,CNW,CNW,CNW,CW,W,NW,W,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,N,N,N,N,N,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW
1981-01-05,N,N,N,N,N,N,N,N,C,C,NW,CNW,N,N,N,N,N,N,A,N,N,NW,N,NE,NE,NE,NE,NE,AN,AN,ANE,ANE,AN,AN,AN,N,N,N,N
1981-01-06,N,N,N,N,N,CNW,CNW,CNW,CNW,CNW,NW,NW,N,N,N,NW,NW,N,A,AN,NW,NW,NW,A,A,A,A,A,AN,AN,AN,AN,AN,N,N,N,N,N,AN
1981-01-07,NE,NE,NE,NE,NE,CNE,CNE,CNE,C,C,C,C,NE,NE,NE,C,C,C,A,N,N,C,C,A,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,N,N,N,N
1981-01-08,ANE,ANE,ANE,ANE,NE,NE,NE,NE,NE,CNE,CNE,CNE,NE,NE,NE,NE,NE,NE,A,NE,NE,N,N,E,AE,E,AE,AE,AE,AE,AE,ANE,ANE,ANE,ANE,NE,NE,NE,NE
1981-01-09,A,A,A,A,ANE,NE,NE,NE,NE,NE,N,NE,NE,NE,NE,NE,NE,NE,A,A,AN,N,N,A,ASE,ASE,AE,AE,AE,AE,AE,A,A,A,A,ANE,ANE,ANE,ANE
1981-01-10,C,C,C,C,C,C,C,C,C,C,NW,NW,C,C,C,C,C,C,A,C,W,W,NW,C,CNW,C,C,C,C,C,C,C,C,C,C,C,C,C,C
1981-01-11,C,CE,CE,CSE,CSE,CSE,CSE,CSE,SE,A,CSW,CS,CSE,CSE,CSE,C,C,C,C,C,C,CSW,CSW,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
1981-01-12,CNE,C,C,C,C,S,S,S,S,S,S,S,S,S,S,CS,CS,CS,C,C,C,CS,S,C,C,C,C,CNE,C,C,C,C,C,C,C,C,C,C,C
1981-01-13,CNE,NE,CNE,CNE,C,C,C,C,C,CS,C,C,C,C,C,C,C,C,C,C,C,C,C,N,C,C,N,C,C,C,C,C,C,CNE,CNE,C,C,C,C
1981-01-14,N,N,N,N,N,C,C,C,C,C,C,C,N,N,N,C,C,N,N,N,N,CNW,CNW,AN,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1981-01-15,NW,NW,NW,NW,NW,CNW,CNW,CNW,CW,CW,NW,W,CNW,NW,CNW,NW,NW,CNW,ANW,NW,NW,NW,NW,ANW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW
1981-01-17,NW,NW,NW,NW,W,W,NW,NW,C,N,NW,NW,NW,NW,NW,NW,NW,NW,A,ANW,NW,NW,NW,AN,AN,AN,ANW,ANW,ANW,ANW,ANW,ANW,ANW,ANW,ANW,NW,ANW,ANW,ANW
1981-01-18,N,N,N,N,N,C,C,C,C,C,CNW,CNW,N,N,N,N,N,N,ANE,N,NW,NW,NW,A,A,AN,AN,AN,AN,AN,A,AN,AN,N,N,N,N,N,AN
1981-01-19,NW,NW,NW,NW,NW,C,C,C,C,C,NW,NW,NW,NW,NW,NW,NW,NW,A,ANW,NW,NW,NW,A,A,A,A,A,A,A,A,ANW,ANW,ANW,ANW,NW,NW,NW,ANW
1981-01-20,N,N,C,C,C,C,C,C,C,C,CNW,C,C,C,C,C,C,C,NW,NW,NW,NW,NW,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1981-01-21,NE,NE,NE,NE,NE,NE,NE,NE,CNE,CNE,C,C,NE,NE,NE,NE,NE,NE,NE,N,N,N,C,NE,ANE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,N
1981-01-22,NE,NE,NE,NE,NE,NE,NE,NE,NE,CNE,CNE,CNE,NE,NE,NE,NE,NE,NE,A,NE,N,N,NE,A,A,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
1981-01-23,E,E,E,E,E,E,E,E,NE,E,CNE,CNE,E,NE,E,NE,NE,NE,A,ANE,NE,N,NE,A,A,A,A,A,E,E,E,E,E,E,E,NE,NE,NE,NE
1981-01-24,ANE,NE,NE,ANE,NE,NE,NE,NE,NE,E,N,NE,NE,NE,NE,N,N,NE,A,A,A,N,N,SE,SE,A,A,A,A,A,A,A,A,A,A,A,A,A,A
1981-01-25,NE,N,N,AN,ANE,NE,NE,NE,CNE,CNE,NW,N,NE,NE,NE,N,N,N,A,AW,A,NW,NW,SE,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
1981-01-26,NE,NE,NE,NE,NE,CNE,CNE,CNE,C,C,CNW,CNW,NE,NE,NE,C,C,N,A,A,A,NW,NW,A,A,A,A,A,A,A,A,A,NE,NE,NE,CNE,C,C,A
1981-01-27,AE,AE,AE,AE,AE,E,NE,NE,NE,NE,NE,NE,AE,AE,AE,NE,NE,NE,A,A,A,NE,NE,A,A,A,A,A,AE,AE,AE,AE,AE,AE,AE,ANE,A,A,ANE
1981-01-28,E,E,E,E,E,E,NE,NE,NE,NE,N,NE,E,E,E,NE,NE,NE,A,A,ANE,NE,NE,SE,ASE,ASE,A,A,A,A,A,AE,AE,AE,AE,A,A,A,A
1981-01-29,A,ASE,E,AE,AE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,A,A,ANE,N,NE,S,A,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,A,A,A,A,A,A
1981-01-30,A,AE,AE,AE,AE,NE,NE,NE,NE,E,N,NE,NE,NE,NE,NE,NE,NE,A,A,ANE,A,NE,SE,SE,SE,SE,SE,ASE,ASE,ASE,ASE,ASE,A,A,AE,A,A,A
1981-01-31,A,AE,ANE,AE,AE,NE,NE,NE,NE,NE,N,NE,ANE,NE,ANE,NE,NE,NE,ASE,A,A,A,NE,SE,SE,ASE,ASE,ASE,A,A,A,A,A,A,A,A,A,A,A
1981-10-02,NW,NW,CW,CW,CW,CSW,SW,SW,SW,SW,SW,SW,CW,W,W,W,W,CW,A,C,NW,W,C,ANW,ANW,ANW,ANW,ANW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW
1981-10-03,W,W,W,W,W,W,W,W,W,W,AW,AW,W,W,W,W,W,W,A,AW,AW,AW,AW,W,W,W,W,W,W,W,W,W,W,W,W,W,AW,AW,AW
1981-10-04,ASW,SW,ASW,ASW,AW,AW,AW,AW,A,A,A,A,ASW,ASW,ASW,ASW,ASW,ASW,A,ASW,ASW,ASW,A,SW,ASW,ASW,ASW,ASW,ASW,ASW,ASW,ASW,ASW,ASW,ASW,ASW,ASW,ASW,ASW
1981-10-05,S,S,S,S,SW,ASW,ASW,ASW,A,A,AS,AS,S,S,S,ASW,ASW,SW,ASW,S,S,S,S,SW,W,W,SW,SW,SW,SW,SW,SW,SW,SW,SW,AS,SW,SW,SW
1981-10-06,SW,SW,SW,SW,SW,ASW,ASW,ASW,A,A,A,A,SW,SW,SW,ASW,ASW,ASW,A,C,C,AS,AS,A,A,AW,AW,AW,AW,AW,W,W,W,W,W,A,A,A,ASW
1981-10-07,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,E,A,A,A,A,E,E,AE,A,A,A,A,A,A,A,A,A,A,A,A,A
1981-10-08,A,A,A,A,A,ANE,ANE,ANE,A,A,A,A,A,A,A,A,A,A,SE,A,A,A,A,C,A,A,A,ASE,ASE,ASE,A,A,A,A,A,A,A,A,ASE
1981-10-09,A,A,A,ASW,A,A,A,A,A,A,C,A,A,A,A,A,A,A,C,C,C,C,C,A,C,C,A,A,A,A,A,A,A,A,A,A,A,A,A
