dates,77470,76430,76500,76900,161530,161680,162420,162450,162890,163100,164290,164050,77650,77800,77610,165600,165460,165200,604900,603900,604020,603600,607150,6155A,6325O,7031,8019,8025,8414A,8416,8500A,9981A,0016A,76,0200E,B893,B278,B228,B954
1981-01-01,37.6,15.54,54.093,6.194,5.27,7.199,6.935,7.276,15.454,16.097,10.493,8.681,14.167,22.384,19.292,42.649,42.649,41.774,7.535,10.077,7.215,13.893,18.37,10.246,6.826,12.341,8.784,6.887,11.238,11.238,12.069,7.016,15.885,7.408,7.408,10.695,4.465,4.465,14.428
1981-01-02,41.555,14.816,44.886,2.379,6.473,8.491,10.043,9.14,9.089,10.586,17.495,12.28,3.731,2.386,6.905,6.811,6.811,7.527,4.772,11.313,14.193,18.448,15.647,10.192,6.781,2.017,2.502,2.185,6.343,6.343,6.201,5.892,14.291,10.316,10.316,21.419,12.232,12.232,8.646
1981-01-03,23.964,17.618,44.332,10.238,7.555,12.099,17.308,16.739,19.576,24.519,12.241,13.015,39.417,36.261,35.993,47.592,47.592,42.051,3.532,7.289,8.231,13.156,15.593,3.358,3.171,8.127,9.158,7.674,8.584,8.584,9.964,20.456,11.685,9.146,9.146,6.461,13.233,13.233,10.347
1981-01-04,30.08,23.335,47.577,46.439,10.043,14.063,12.526,12.861,27.971,39.516,15.756,21.484,112.238,114.482,132.094,56.706,56.706,56.537,7.447,13.752,9.815,19.353,13.802,10.688,6.463,11.967,14.701,13.288,14.471,14.471,21.334,20.304,18.453,20.876,20.876,11.094,17.78,17.78,17.897
1981-01-05,36.689,14.103,38.312,3.721,5.505,26.722,27.699,33.282,14.267,12.5,21.54,20.639,12.139,9.869,13.838,15.392,15.392,15.775,4.359,11.857,6.935,12.297,26.393,7.249,4.926,3.989,4.281,3.723,14.694,14.694,12.577,8.267,9.431,13.363,13.363,11.355,11.225,11.225,13.437
1981-01-06,43.48,22.385,49.258,33.881,9.446,7.964,13.511,13.892,16.144,15.412,14.353,13.011,48.011,65.455,68.017,61.527,61.527,53.119,4.572,7.861,11.63,15.428,21.899,4.641,7.071,4.952,5.469,5.221,9.314,9.314,7.844,12.569,22.127,30.408,30.408,15.793,16.185,16.185,9.407
1981-01-07,41.819,27.429,34.099,5.139,15.649,19.661,16.246,14.602,13.056,10.961,11.067,9.502,10.279,16.434,14.521,20.986,20.986,20.908,7.915,17.814,14.987,25.672,31.587,5.205,8.496,12.655,12.313,12.117,14.53,14.53,20.804,6.548,10.058,14.806,14.806,19.499,13.413,13.413,15.469
1981-01-08,43.755,28.294,1.303,6.318,12.089,41.494,28.823,27.995,23.201,41.758,24.234,19.114,18.247,24.959,15.052,37.14,37.14,29.043,5.958,28.268,22.573,22.631,35.044,1.752,7.272,7.677,7.571,6.96,4.948,4.948,8.667,9.017,10.189,5.703,5.703,22.124,23.406,23.406,9.184
1981-01-09,18.899,19.23,3.437,4.809,8.413,23.625,16.727,14.005,20.204,21.179,24.179,17.059,19.019,13.374,11.03,14.106,14.106,19.246,5.51,13.436,11.847,19.824,22.27,2.304,5.69,3.146,3.577,2.222,5.04,5.04,4.608,5.204,4.285,6.292,6.292,14.008,12.698,12.698,8.479
1981-01-10,7.27,9.003,4.978,4.174,3.968,4.486,1.266,1.4,5.851,6.043,7.96,8.823,9.431,2.771,5.22,6.82,6.82,8.175,12.293,9.441,10.313,9.716,9.352,13.518,11.335,9.688,13.931,12.064,7.166,7.166,5.974,18.215,11.126,2.485,2.485,7.855,10.742,10.742,6.138
1981-01-11,33.314,23.879,20.395,22.75,18.603,4.708,6.324,6.882,5.245,4.2,7.139,7.912,21.45,22.445,22.349,21.126,21.126,13.23,15.931,11.097,17.242,10.514,14.683,27.857,13.666,12.389,14.466,13.535,14.502,14.502,13.136,16.24,21.566,7.855,7.855,16.942,13.07,13.07,5.686
1981-01-12,10.076,8.936,5.825,2.918,7.128,8.075,7.615,8.7,3.644,5.741,12.279,8.843,4.877,7.264,2.293,2.394,2.394,2.957,10.509,6.49,5.493,6.216,9.389,6.132,4.415,6.684,8.106,4.329,4.961,4.961,4.086,5.276,16.195,9.77,9.77,6.035,4.206,4.206,10.364
1981-01-13,84.529,37.795,12.708,10.592,27.392,14.235,23.222,28.884,13.389,23.198,17.181,12.767,7.993,2.73,7.812,8.154,8.154,8.414,14.257,19.017,17.676,11.713,7.573,31.79,19.774,24.265,28.934,22.776,22.093,22.093,12.681,32.716,22.18,10.415,10.415,7.954,12.104,12.104,25.128
1981-01-14,36.428,12.24,14.859,4.958,6.928,14.2,2.951,3.57,5.431,6.362,16.52,16.42,17.773,12.937,11.762,21.291,21.291,16.648,10.34,13.538,11.297,23.475,18.526,25.924,17.195,18.206,19.376,15.031,18.279,18.279,14.825,12.67,13.307,16.12,16.12,25.206,13.315,13.315,10.477
1981-01-15,35.161,17.499,43.488,75.543,5.156,20.789,19.73,18.132,31.786,37.166,20.547,27.753,92.549,104.065,125.106,53.738,53.738,56.094,14.64,25.778,28.444,27.525,25.127,24.621,24.683,21.284,23.314,19.413,39.539,39.539,41.276,36.337,39.071,26.987,26.987,23.463,34.305,34.305,35.04
1981-01-16,17.208,16.671,37.33,3.171,11.003,22.698,28.54,31.591,28.277,31.427,25.131,26.441,13.326,10.976,13.065,22.302,22.302,17.955,7.201,18.657,8.418,20.125,24.833,4.147,4.093,9.465,15.969,11.606,17.758,17.758,21.328,17.191,16.392,14.66,14.66,13.202,18.613,18.613,19.514
1981-01-17,18.053,22.442,25.069,18.343,8.319,15.091,12.465,10.826,16.65,16.299,15.88,14.568,55.563,59.85,75.059,20.063,20.063,26.545,6.174,10.266,10.884,13.457,13.714,6.505,5.925,11.361,13.492,11.4,9.674,9.674,11.117,19.794,18.475,9.452,9.452,14.089,18.184,18.184,9.188
1981-01-18,23.82,12.399,34.521,6.099,6.529,23.823,16.564,15.884,7.308,13.715,21.003,27.109,13.434,16.151,19.798,43.522,43.522,32.976,9.043,12.97,9.098,15.148,20.569,5.169,9.579,14.422,12.259,8.697,13.567,13.567,13.431,14.857,10.424,14.056,14.056,7.773,10.009,10.009,16.716
1981-01-19,25.385,14.478,34.487,4.09,4.573,10.037,13.631,14.23,14.351,14.481,15.938,15.505,29.432,31.336,34.75,28.765,28.765,27.831,7.45,10.689,9.634,16.481,19.911,3.201,4.363,9.668,10.62,7.779,11.992,11.992,12.269,19.424,12.693,12.596,12.596,12.603,9.038,9.038,13.794
1981-01-20,29.097,18.476,52.421,16.75,21.384,16.484,7.607,9.103,6.114,6.787,23.503,30.294,45.019,81.347,88.333,62.089,62.089,56.783,11.329,27.653,21.618,26.507,24.054,15.963,13.822,22.205,23.386,17.357,27.127,27.127,34.038,34.184,33.044,27.486,27.486,18.137,28.977,28.977,35.693
1981-01-21,41.46,21.367,9.786,2.956,12.186,48.524,36.573,37.023,24.655,64.642,55.823,43.766,20.85,21.622,16.222,35.215,35.215,26.651,11.78,23.716,27.672,22.577,39.389,12.498,12.785,22.681,30.077,24.938,16.347,16.347,14.98,5.867,14.2,12.696,12.696,37.217,13.187,13.187,17.15
1981-01-22,37.551,21.008,1.577,2.536,12.983,39.87,25.226,21.822,14.588,35.881,30.221,21.548,27.22,24.798,19.055,25.658,25.658,29.262,5.008,21.177,18.059,20.963,25.943,4.22,6.366,4.28,4.807,5.636,8.342,8.342,5.264,6.811,13.561,10.427,10.427,30.001,20.018,20.018,12.998
1981-01-23,8.774,2.176,1.275,4.042,17.916,11.611,16.639,10.695,21.532,24.657,8.457,6.862,16.096,10.717,9.317,5.628,5.628,11.861,0.899,13.964,17.777,9.801,16.479,6.713,3.104,1.997,3.517,3.912,2.887,2.887,2.319,3.584,1.027,3.709,3.709,19.144,10.262,10.262,8.272
1981-01-24,5.26,2.768,7.006,4.08,5.445,14.4,6.712,5.252,11.402,1.741,7.63,4.838,8.835,11.098,10.19,8.87,8.87,8.084,1.881,5.8,4.541,7.525,10.528,8.71,7.984,5.25,8.225,8.354,5.363,5.363,5.993,6.911,3.328,2.571,2.571,8.431,4.575,4.575,2.395
1981-01-25,11.354,14.493,23.312,2.468,3.494,6.061,8.585,9.325,10.017,6.741,11.405,12.79,2.59,7.978,5.739,21.61,21.61,23.006,6.265,2.351,4.36,6.38,12.458,10.09,8.512,3.55,3.188,2.285,2.412,2.412,4.376,3.665,5.405,5.32,5.32,6.762,3.058,3.058,0.405
1981-01-26,24.106,23.675,24.143,3.072,7.647,8.893,6.523,6.741,2.282,4.318,7.418,10.476,4.136,4.12,4.611,13.604,13.604,7.201,3.298,3.266,4.42,11.834,16.792,3.116,4.019,1.93,1.359,1.077,3.072,3.072,3.22,4.446,1.639,0.815,0.815,13.48,4.321,4.321,3.208
1981-01-27,11.43,10.216,6.311,6.409,7.316,22.275,20.461,18.566,19.422,15.561,26.195,16.582,9.285,8.499,11.437,8.788,8.788,10.967,2.605,9.95,4.041,4.578,9.057,2.358,3.833,2.753,2.704,2.134,1.484,1.484,5.369,1.2,0.931,2.315,2.315,4.105,12.234,12.234,2.355
1981-01-28,14.392,22.809,2.233,3.524,7.162,33.24,15.383,13.831,15.036,11.096,16.934,13.224,17.406,11.612,11.003,15.138,15.138,15.412,2.46,7.727,6.016,13.539,16.592,2.443,5.129,4.356,3.829,3.822,4.432,4.432,4.974,4.913,5.824,4.011,4.011,18.154,10.044,10.044,5.113
1981-01-29,11.408,3.721,2.478,0.952,7.275,35.717,18.656,16.91,18.765,8.076,23.932,16.533,14.314,14.054,13.537,16.333,16.333,20.375,4.643,6.612,6.09,9.638,16.75,2.437,4.482,4.146,4.949,4.501,3.584,3.584,5.335,1.252,2.186,2.145,2.145,7.386,5.339,5.339,3.96
1981-01-30,11.69,3.479,2.226,5.809,11.008,14.952,16.736,12.866,15.812,7.565,6.362,4.295,12.936,10.786,8.746,7.462,7.462,9.103,3.637,11.267,3.481,10.06,10.999,3.435,7.227,4.595,5.146,4.492,3.899,3.899,4.957,1.999,4.988,5.373,5.373,10.975,8.108,8.108,5.451
1981-01-31,4.328,7.464,4.708,1.862,4.797,9.069,11.086,7.57,11.903,6.146,5.335,5.017,8.266,8.976,7.546,8.038,8.038,10.337,3.724,5.15,8.64,8.795,9.975,24.815,9.497,5.045,4.441,3.164,3.175,3.175,2.931,0.817,3.068,4.039,4.039,8.589,6.277,6.277,4.824
1981-02-01,0.767,2.768,1.446,2.668,2.145,5.947,4.615,3.462,9.109,3.931,4.326,3.541,5.136,6.149,5.82,2.629,2.629,5.097,4.318,4.042,3.858,5.838,4.369,12.152,7.73,8.655,10.036,10.316,7.43,7.43,7.988,4.115,4.039,5.611,5.611,5.973,7.158,7.158,9.014
1981-02-02,13.871,11.023,5.646,2.424,2.391,3.618,0.619,1.192,4.983,3.234,2.142,1.891,3.504,4.425,5.177,4.067,4.067,4.193,4.275,4.485,4.799,4.747,4.993,8.896,13.406,10.807,11.235,10.009,8.076,8.076,10.046,6.572,4.358,4.962,4.962,8.233,7.404,7.404,7.19
1981-02-03,9.757,12.618,15.751,11.077,13.688,5.158,3.842,3.404,6.474,3.701,3.87,6.326,7.382,4.923,8.044,4.726,4.726,5.524,7.086,9.33,9.539,12.153,8.103,9.587,10.007,9.241,11.56,8.632,9.424,9.424,9.673,13.57,6.769,4.301,4.301,9.897,7.58,7.58,7.402
1981-02-04,18.936,18.411,26.026,31.646,5.238,22.258,22.517,19.093,24.605,29.472,12.362,19.152,68.418,54.372,81.903,24.713,24.713,27.448,19.219,16.868,19.472,19.773,15.548,16.989,11.725,15.386,17.756,13.954,18.089,18.089,18.697,23.665,29.937,14.014,14.014,21.684,22.524,22.524,14.863
1981-02-05,30.709,16.588,46.664,5.698,8.379,22.32,13.281,11.657,8.751,11.699,18.079,20.51,11.698,18.592,18.756,44.589,44.589,29.635,13.989,24.518,15.659,19.157,23.085,12.067,10.667,13.142,15.33,12.924,25.515,25.515,32.778,22.631,13.459,13.15,13.15,25.318,16.618,16.618,26.668
1981-02-06,35.165,7.746,36.705,2.626,6.835,16.78,26.004,26.556,24.02,17.234,33.871,25.634,13.241,13.347,12.832,9.132,9.132,11.478,3.436,10.018,12.864,19.641,20.717,6.167,12.642,4.089,7.413,6.457,10.533,10.533,9.592,5.775,10.669,12.574,12.574,15.042,8.695,8.695,10.219
1981-02-07,20.053,16.768,8.054,2.873,6.129,11.11,27.973,26.02,17.526,10.192,18.548,13.745,4.313,6.694,8.01,4.346,4.346,2.928,0.929,8.149,5.061,11.186,20.031,8.539,3.455,2.446,3.739,4.981,3.222,3.222,5.269,3.871,3.326,3.804,3.804,20.321,11.835,11.835,4.046
1981-02-08,3.823,4.496,11.131,2.252,6.512,6.734,10.563,10.294,10.009,9.289,11.121,7.289,6.601,5.14,7.512,7.068,7.068,6.805,4.437,8.38,7.384,1.959,3.644,5.64,1.833,2.031,1.814,2.177,4.968,4.968,2.737,6.135,4.662,4.826,4.826,2.185,1.389,1.389,5.602
1981-02-09,5.012,2.152,12.207,5.96,9.023,5.0,12.693,11.465,9.28,8.312,7.027,6.23,7.003,7.87,8.726,4.539,4.539,5.912,8.748,6.199,8.804,6.154,4.552,6.225,7.156,4.497,5.462,4.768,9.226,9.226,5.607,6.041,4.865,3.538,3.538,5.844,8.148,8.148,9.273
1981-02-10,17.017,7.685,14.745,10.98,2.114,7.408,9.303,9.344,10.616,9.831,3.805,4.483,18.648,14.182,17.564,9.177,9.177,8.81,6.318,6.81,5.29,4.2,3.006,7.7,17.729,22.218,14.671,15.57,9.089,9.089,7.038,7.047,5.487,2.27,2.27,2.008,3.946,3.946,7.11
1981-02-11,28.929,16.417,7.871,3.058,8.864,15.161,13.254,13.707,13.084,10.408,6.005,7.137,20.314,14.334,17.216,8.706,8.706,12.538,5.378,6.906,4.203,5.56,4.627,4.01,5.252,4.701,7.802,7.133,6.881,6.881,7.492,7.355,4.438,3.989,3.989,2.372,3.973,3.973,4.997
