dates,77470,76430,76500,76900,161530,161680,162420,162450,162890,163100,164290,164050,77650,77800,77610,165600,165460,165200,604900,603900,604020,603600,607150,6155A,6325O,7031,8019,8025,8414A,8416,8500A,9981A,0016A,76,0200E,B893,B278,B228,B954
1980-12-31,0.0013820827,0.0013820827,0.0013820827,0.0013820827,0.002073124,0.0013820827,0.0013820827,0.0013820827,0.0013820827,0.0013820827,0.47053957,0.25772488,0.0013820827,0.0013820827,0.3399495,0.0027641654,0.002073124,0.0013820827,2.697479,12.37842,15.06761,14.516228,14.413966,0.004146248,0.002073124,0.0013820827,0.0013820827,0.0013820827,0.0013820827,0.0013820827,0.0013820827,0.0013820827,0.0013820827,0.0013820827,0.0013820827,0.0013820827,0.0013820827,0.0013820827,0.0013820827
1981-01-01,0.53216517,0.06880239,0.014871358,1.0788088,0.30647218,3.9151812,2.2435598,1.7180517,0.76098365,0.48434177,1.7449056,1.8379315,0.014871358,0.5592815,0.9637195,0.0748951,0.13006665,0.8298587,0.046329573,1.0323114,6.617593,19.79978,9.609493,0.014871358,0.026108697,0.014871358,0.014871358,0.014871358,0.014871358,0.014871358,0.01712516,0.016253442,0.014871358,0.014871358,0.029563904,0.960309,0.014871358,0.014871358,0.014871358
1981-01-02,0.10368228,0.049773604,0.006105751,0.107178465,0.07321499,0.01046434,0.632979,0.5619433,0.26661903,0.42255783,9.041916,23.600315,0.00959076,0.006105751,0.03662519,0.027010217,0.04269369,0.070583075,0.006105751,21.963362,6.7517657,54.344257,2.2492447,0.03922172,0.006105751,0.006105751,0.006105751,0.006105751,0.006105751,0.006105751,0.04791841,0.160316,0.006105751,0.006105751,0.032247975,0.3729891,0.01046434,0.01046434,0.006105751
1981-01-03,0.00873208,0.77024484,0.00873208,0.06887689,0.118799515,8.570405,28.30297,20.948307,10.223949,3.8589702,2.3992603,1.1842288,0.72675383,7.679459,17.470438,0.7250606,1.0186397,6.6077414,0.00873208,0.08830987,3.2561064,34.782894,4.2560973,0.024467707,0.16254932,0.00873208,0.00873208,0.00873208,0.00873208,0.00873208,0.00873208,0.00873208,0.036703423,0.00873208,0.013984739,0.74728405,0.00873208,0.00873208,0.00873208
1981-01-04,0.92750406,3.514391,2.7751286,0.8237363,0.96262807,2.679156,3.4608412,4.802596,99.85739,175.95503,2.3440106,4.4879894,15.523406,23.879347,68.83003,0.18160604,0.16253442,16.383797,0.015500933,0.015500933,0.015500933,1.3641733,1.4486352,0.015500933,0.015500933,0.015500933,0.015500933,0.015500933,0.015500933,0.015500933,0.015500933,0.015500933,0.015500933,0.015500933,0.015500933,0.015500933,0.015500933,0.015500933,0.015500933
1981-01-05,0.6389544,0.0,0.0,2.2892654,7.166437,0.0,0.07874891,0.060632825,16.520926,62.780243,4.6131053,12.469116,0.040493906,1.9334222,0.24337694,0.23316592,0.37603453,1.5260426,0.0,19.364277,19.62802,22.698153,0.4964471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0076703727,0.011980534,0.0,4.881598,2.6915112,2.848133,4.239395,4.239395,0.0051110983
1981-01-06,0.010915101,2.6521535,2.567623,0.15738606,0.5314238,4.887365,9.132739,7.7188606,26.907791,19.575119,26.824955,27.979914,4.1624794,7.0640893,31.145695,15.248887,20.763702,17.76332,3.7253e-06,2.1229641,1.6199276,4.234742,9.877351,0.3240183,3.7253e-06,0.3255196,7.356919,3.5982287,3.7253e-06,3.7253e-06,2.0560133,3.7253e-06,3.7253e-06,9.395362,10.339253,3.0405934,1.2647101,1.2647101,0.084124506
1981-01-07,29.110046,53.072376,3.0233562,13.168967,0.6098002,2.5807397,0.009186566,0.037416816,34.01805,173.90744,56.05788,210.33493,15.971456,27.416512,13.349444,19.8108,37.248123,29.203634,8.56817e-05,14.436621,38.149456,136.74074,126.29934,8.56817e-05,8.56817e-05,8.56817e-05,0.004172325,0.0013448298,0.0013448298,0.0013448298,0.0013448298,0.024870038,3.184546,3.1418056,3.867488,33.547363,3.6856427,3.6856427,0.5015545
1981-01-08,0.02020225,0.02020225,0.02020225,0.8455403,0.08069724,5.9465804,1.4621017,1.1189729,0.5353391,0.6408282,78.652115,148.28897,41.752296,17.697502,8.014362,3.7577338,3.1363442,13.325354,1.457736,16.00588,116.547844,132.48584,234.69942,2.7333982,4.179001,22.761078,30.277151,20.021004,25.66126,18.533028,56.778587,0.02020225,4.100363,26.56799,30.811708,27.934536,0.22052228,0.22052228,0.27357042
1981-01-09,0.021051615,0.021051615,0.021051615,0.29424205,0.021051615,0.053878874,0.021051615,0.021051615,0.0946112,0.08796528,11.118253,44.38035,2.178896,0.58318293,0.04994124,0.34010038,0.21667404,0.23647398,0.021051615,12.72193,56.225548,11.351391,102.686554,17.385525,12.361512,5.6848636,63.771305,41.37272,0.078849494,0.078849494,4.68465,0.78133106,6.7984643,8.002941,5.415857,0.6247498,0.2344474,0.2344474,3.4308732
1981-01-10,2.7154703,15.4613085,8.620545,0.13094768,0.31014904,0.028200448,0.028200448,0.028200448,0.03870204,0.050952658,7.713802,5.038107,0.028200448,0.10349974,0.14340319,0.04901737,0.07314049,0.053225085,0.03637187,0.23511611,30.830254,25.264172,2.076341,0.054258853,0.24614482,0.028200448,0.097172335,0.06722286,2.687685,2.284266,15.024573,0.41902626,0.5952418,5.655406,8.70451,9.571775,26.16404,26.16404,0.39978886
1981-01-11,315.9886,128.10995,153.12244,64.80512,20.062744,0.7044208,0.0,0.0,2.4689791,1.349127,2.9821136,0.9546708,36.75172,24.329557,13.38167,61.490482,59.538067,34.037502,63.243202,2.1442678,0.0,0.0,0.0,1.8415319,40.759663,75.03204,72.13267,60.902847,60.830685,50.835007,104.3137,335.40414,427.5509,211.1772,199.25972,126.29174,45.67811,45.67811,73.484375
1981-01-12,745.22205,196.89352,81.90721,1.061054,1.0490977,14.833739,10.556344,10.259155,20.524609,5.202385,0.49110317,0.059489157,86.319214,39.482105,18.288536,3.9756684,3.1773264,7.5552835,57.687725,33.2615,17.556866,0.37230924,0.012515113,0.012515113,1.5620663,0.11857413,1.8421748,1.2810621,2.841955,4.6276946,39.639465,132.55551,176.64384,300.84033,169.41362,80.69478,76.672646,76.672646,66.20623
1981-01-13,37.94335,39.67043,294.63928,205.10896,230.09229,265.35278,683.8824,706.4551,242.5966,212.37772,32.433487,55.712532,64.68701,117.14719,200.63037,92.612175,109.06734,93.35662,134.14117,45.501476,11.879306,86.12203,28.349419,0.7339343,10.611446,10.203124,18.162123,12.794116,22.374628,21.960827,13.846902,12.305392,20.094374,114.99001,93.023476,76.13054,63.349648,63.349648,88.91234
1981-01-14,0.43338346,0.15987456,0.0,0.005580485,0.0102669,43.29953,71.4347,68.61931,79.815475,217.35548,123.40919,25.534208,80.568794,65.573044,35.372704,12.751997,20.574104,101.33402,116.80714,141.607,112.34964,43.36651,11.643257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007390976,0.0,0.0,0.0,3.4164672,0.018123537,0.018123537,0.0037699935
1981-01-15,97.62562,37.80374,23.8221,16.042347,0.092327595,21.00266,64.75282,73.71771,150.89346,168.16003,38.914165,83.52138,116.08347,89.20878,193.72337,17.888802,17.315,53.648743,0.010892749,1.3415778,1.9743035,72.22329,63.007374,0.006444752,0.006444752,3.900025,8.955765,9.082339,13.65827,17.593647,23.684393,1.7800779,0.33109263,0.14691427,1.8125697,1.6427487,1.7496496,1.7496496,0.006444752
1981-01-16,16.207605,0.25635585,0.87819993,0.014059245,0.20676106,0.014059245,0.111065805,0.056117773,74.78162,153.0408,23.764791,20.715267,0.470791,1.4393704,1.351144,18.171955,25.199697,1.8229184,0.21376461,7.8299685,73.16225,48.434822,224.02457,0.073652714,0.014059245,0.014059245,0.014059245,0.014059245,0.014059245,0.014059245,0.014059245,0.015228987,1.8657073,20.793224,33.858128,5.410901,12.279025,12.279025,0.014059245
1981-01-17,2.561111,10.665126,7.5495987,0.013187528,0.009652227,23.420311,24.928816,22.84225,15.501697,7.9170985,1.6031823,0.73619556,7.5081935,26.734245,95.867035,1.2846216,2.151832,29.455076,0.05852804,0.8363277,5.1712313,3.3516994,5.4750366,0.037029386,0.014342368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11348352,0.026263297,0.016763806,0.0,0.0,0.0
1981-01-18,2.1366794,0.020999461,0.08009747,0.017244369,0.019105151,155.43953,172.26073,173.56174,83.68435,441.7605,10.152809,49.611717,7.5364165,20.151684,56.61364,44.845444,53.508095,16.613947,0.34322774,14.4489975,9.844914,34.212563,29.036856,0.12833625,0.017244369,0.017244369,0.017244369,0.017244369,0.017244369,0.017244369,0.017244369,0.017244369,0.017244369,0.017244369,0.017244369,2.446156,0.017244369,0.017244369,0.017244369
1981-01-19,0.3238395,0.28297865,0.005878508,0.005878508,0.02264604,0.005878508,0.005878508,0.005878508,0.005878508,1.9753021,11.365669,87.30116,0.06486848,0.5964003,10.492919,2.9322765,6.11875,29.20624,0.005878508,2.1426494,3.0007067,42.104534,19.616098,1.2431724,0.005878508,0.005878508,0.005878508,0.005878508,0.005878508,0.005878508,0.005878508,0.005878508,0.005878508,0.04794635,0.10536425,0.6160102,0.005878508,0.005878508,0.005878508
1981-01-20,16.988245,18.87665,45.146282,36.876083,8.157261,116.798676,20.730185,21.76647,17.576168,165.96655,57.56409,108.48727,126.33563,71.94276,172.30093,28.102509,27.343311,27.851952,0.006156042,0.0630673,3.8675854,6.0410185,8.597099,0.006156042,0.006156042,0.006156042,0.006156042,0.006156042,0.006156042,0.006156042,0.006156042,0.01837127,0.007348135,0.31645596,0.43645316,3.4460948,0.7382557,0.7382557,0.014493242
