,77470,76430,76500,76900,161530,161580,161680,162420,162450,162890,163100,164290,164050,77650,77800,77610,165600,165460,165200,604900,603900,604020,603600,607150,6155A,6325O,7031,8025,8019,8416Y,8414A,8500A,9981A,0016A,76,0200E,B893,B228,B278
1981-06-02,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-06-03,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-06-09,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,
1981-06-10,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,
1981-06-11,,1.0,1.0,,,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,,
1981-06-12,,,,,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1981-06-13,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0
1981-06-14,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1981-06-15,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1981-06-16,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0
1981-08-02,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
1981-08-03,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
1981-08-04,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0
1981-08-05,,,,,,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0
1981-08-06,,,,,,,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,
1981-08-07,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
1981-08-08,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
1981-08-09,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
1982-06-02,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-06-03,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
1982-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
1982-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
1982-06-11,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,
1982-06-12,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
1982-06-13,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
1982-06-19,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
1982-06-20,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
1982-06-21,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,
1982-06-22,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,
1982-06-23,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,
1982-06-24,,,,,,,,1.0,,,1.0,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,
1982-06-25,,,,,,,,1.0,1.0,,1.0,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,
1982-06-26,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
1982-07-03,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,
1982-07-04,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,1.0,,,
1982-07-05,,1.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,1.0,,,,,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0
1982-07-06,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1982-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1982-07-08,,,1.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1982-07-09,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1982-07-10,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0
1982-07-11,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0
1982-07-12,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0
1982-07-13,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,
1982-07-14,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,
1982-07-15,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,
1982-07-16,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
1982-07-17,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
1982-07-18,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
1982-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
1982-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
1983-06-03,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-06-04,,,1.0,,,,,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0
1983-06-05,,,1.0,,,,1.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,1.0
1983-06-06,,,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,1.0,,,,
