dates,77470,76430,76500,76900,161530,161680,162420,162450,162890,163100,164290,164050,77650,77800,77610,165600,165460,165200,604900,603900,604020,603600,607150,6155A,6325O,7031,8019,8025,8414A,8416Y,8500A,9981A,0016A,76,0200E,B893,B278,B228,B954
1981-01-31,2.1,4.05,1.3,4.0375,3.54,0.1,1.75,1.125,1.7999999999999998,1.6749999999999998,4.3,3.4,2.971428571428571,3.5285714285714285,2.983333333333334,-0.25999999999999995,2.44,2.46,3.7846153846153845,2.35,3.8,4.4,1.6,1.8333333333333333,3.0714285714285716,3.755555555555555,3.0875000000000004,1.8699999999999999,1.4111111111111112,0.48888888888888893,1.95,2.0333333333333337,,4.525,3.5799999999999996,3.8200000000000003,3.3249999999999997,1.2625,2.677777777777778
1981-02-28,2.6500000000000004,4.6,1.7,4.3,3.4,0.75,2.216666666666667,2.483333333333333,1.9499999999999997,2.3,4.5285714285714285,3.016666666666667,2.8249999999999997,2.95,3.425,2.15,2.466666666666667,1.9000000000000001,3.6666666666666665,4.8,,,3.4,2.0571428571428574,5.344444444444445,3.5583333333333336,3.6625,1.7875,2.8,0.8888888888888888,2.08,2.066666666666667,1.2333333333333332,4.4,6.1499999999999995,2.775,3.56,1.6800000000000002,3.063636363636364
1981-03-31,4.166666666666667,4.4,4.7,4.166666666666667,5.9,5.3999999999999995,4.075,3.7999999999999994,2.542857142857143,2.15,4.3,3.8249999999999997,2.5,,,1.1500000000000001,3.8499999999999996,2.8499999999999996,8.8,2.5,3.2999999999999994,,2.5,4.575,3.9,4.34,5.8999999999999995,2.2600000000000002,6.0,1.4000000000000001,2.42,4.4,3.75,6.049999999999999,5.55,5.7,3.4166666666666665,1.5166666666666668,3.6875
1981-04-30,,5.0,,3.533333333333333,3.62,3.7,4.66,3.7625,2.3666666666666667,2.25,3.9444444444444446,5.25,3.55,5.64,3.675,6.75,5.85,3.133333333333333,5.9,4.1,,5.0,4.8,,2.8,5.0,,,2.8,1.1,3.0500000000000003,4.8999999999999995,2.8,6.9,4.2,8.9,,,2.2
1981-05-31,4.45,5.3,6.75,2.5500000000000003,4.3,3.5374999999999996,3.3,3.5,2.4199999999999995,1.75,5.12,4.7875000000000005,2.8666666666666667,6.655555555555555,3.6166666666666667,8.84,8.059999999999999,3.0250000000000004,10.9,5.9,3.6,7.6,6.659999999999999,5.764285714285713,5.28125,5.946666666666667,5.633333333333333,2.95,6.0375,1.5625,3.2285714285714286,4.05,3.266666666666667,9.2,1.9,5.2700000000000005,4.1,1.69,5.526666666666666
1981-06-30,3.45,5.328571428571429,5.0249999999999995,1.6600000000000001,3.4,3.1666666666666665,4.464285714285714,3.853846153846154,2.6,2.275,4.6923076923076925,4.6466666666666665,2.966666666666667,4.911111111111111,3.5,6.9,7.107142857142857,3.558333333333334,6.65,7.9,,8.0,5.16,5.34375,5.089473684210526,5.022222222222222,5.492857142857143,2.557142857142857,4.638461538461538,0.7307692307692307,2.2916666666666665,3.125,2.7307692307692304,5.425,3.516666666666667,5.846666666666666,3.9200000000000004,2.066666666666667,4.947058823529412
1981-07-31,2.95,4.72,5.6,3.0666666666666664,4.35,3.8333333333333326,4.872727272727273,4.290909090909091,3.1799999999999997,3.28,5.705263157894737,5.34375,3.872727272727273,5.0625,3.8272727272727276,7.616666666666666,7.088235294117647,3.547058823529411,,,,,6.5875,5.255555555555556,7.072222222222222,4.218181818181819,3.047058823529412,2.5285714285714285,5.235000000000001,1.7578947368421056,3.0421052631578944,3.257142857142857,3.9066666666666663,6.436363636363637,2.8625,5.2823529411764705,4.46875,2.43125,4.0
1981-08-31,3.766666666666667,4.872727272727273,4.654545454545455,1.0,4.300000000000001,3.3928571428571423,3.644444444444444,3.75,2.4916666666666667,1.6285714285714283,4.461111111111111,3.9882352941176475,3.0500000000000003,4.8,3.541666666666666,5.630434782608695,6.57391304347826,3.6052631578947376,,,3.6,9.3,5.2,5.055000000000001,3.205882352941177,4.5,3.5461538461538464,2.3875,4.453846153846154,1.15,2.8249999999999997,3.244444444444445,4.4222222222222225,5.599999999999999,4.011111111111111,4.660869565217391,4.295,2.4099999999999997,3.7833333333333337
1981-09-30,3.0,4.628571428571428,4.1,5.3,4.0,3.8666666666666667,4.583333333333333,4.380000000000001,1.9888888888888892,2.022222222222222,5.2272727272727275,4.3999999999999995,3.7,4.199999999999999,3.6399999999999997,4.825,5.838461538461539,3.6636363636363636,,4.0,3.3,5.6,5.45,5.692857142857143,4.786666666666666,4.23125,2.9222222222222225,2.05,4.099999999999999,1.19,2.5999999999999996,1.9,3.3333333333333335,5.833333333333333,5.566666666666666,3.4875000000000003,3.8857142857142857,1.5857142857142859,2.8615384615384616
1981-10-31,,4.35,3.5,4.3,4.65,2.175,2.48,3.483333333333334,1.4333333333333333,1.1599999999999997,4.357142857142857,3.284615384615385,3.3,4.45,2.9799999999999995,3.022222222222222,4.66,2.466666666666667,4.3,3.3000000000000003,3.65,4.55,2.7625,3.2714285714285714,2.6600000000000006,3.6812500000000004,1.936363636363636,2.164285714285714,2.8214285714285716,0.7866666666666667,2.3066666666666666,2.1999999999999997,1.8399999999999999,4.85,1.25,4.683333333333334,3.0444444444444443,1.4222222222222223,2.3857142857142857
1981-11-30,1.7428571428571427,3.875,1.5499999999999998,2.3,3.55,1.4,1.3,2.0999999999999996,0.975,1.5571428571428574,3.6300000000000003,4.21,2.7,2.85,2.8,-0.5000000000000001,2.5,1.4,4.0200000000000005,3.1,3.033333333333333,2.3,2.2333333333333334,5.300000000000001,5.021052631578947,1.9,1.7857142857142858,1.8375000000000004,1.4375,0.5625,1.92,1.8375,1.6999999999999997,3.5999999999999996,0.175,4.090909090909091,2.033333333333333,1.1166666666666665,2.6818181818181817
1981-12-31,,4.2,1.7,3.4666666666666663,4.2,2.6,1.3,2.2,1.7,2.5,,7.0,2.9,,3.1,-1.0,2.1,4.7,4.550000000000001,2.35,2.45,3.5,,5.425,4.477777777777778,3.7000000000000006,6.5,3.05,2.275,0.575,2.075,,1.7,3.75,0.0,5.8,5.0,2.4,3.55
