heatwave,dates,station,ws
hw,1981-06-02,162890,2.1
hw,1981-06-02,163100,1.0
hw,1981-06-03,162890,3.0
hw,1981-06-03,163100,2.6
hw,1981-06-09,77800,5.1
hw,1981-06-09,77610,3.3
hw,1981-06-09,165200,3.0
hw,1981-06-09,0200E,2.5
hw,1981-06-10,76900,0.9
hw,1981-06-10,77800,6.0
hw,1981-06-10,165200,3.7
hw,1981-06-10,0200E,3.1
hw,1981-06-11,76430,5.6
hw,1981-06-11,76500,4.7
hw,1981-06-11,161680,2.4
hw,1981-06-11,162420,5.6
hw,1981-06-11,162450,4.2
hw,1981-06-11,77650,3.2
hw,1981-06-11,77800,3.7
hw,1981-06-11,77610,3.7
hw,1981-06-11,165200,3.2
hw,1981-06-11,0016A,2.8
hw,1981-06-11,0200E,1.1
hw,1981-06-12,161680,5.0
hw,1981-06-12,162420,5.3
hw,1981-06-12,162450,2.9
hw,1981-06-12,162890,2.5
hw,1981-06-12,77650,2.5
hw,1981-06-12,77800,3.9
hw,1981-06-12,77610,3.6
hw,1981-06-12,8416Y,0.8
hw,1981-06-12,8500A,1.7
hw,1981-06-12,9981A,2.8
hw,1981-06-12,0016A,3.3
hw,1981-06-12,76,5.0
hw,1981-06-12,0200E,4.2
hw,1981-06-12,B893,3.3
hw,1981-06-12,B228,1.9
hw,1981-06-12,B278,3.1
hw,1981-06-13,161680,0.8
hw,1981-06-13,77650,4.0
hw,1981-06-13,77800,3.1
hw,1981-06-13,77610,3.4
hw,1981-06-13,8416Y,0.3
hw,1981-06-13,8500A,1.7
hw,1981-06-13,0016A,2.5
hw,1981-06-13,76,7.5
hw,1981-06-13,0200E,1.9
hw,1981-06-13,B228,1.9
hw,1981-06-13,B278,3.6
hw,1981-06-14,77470,2.6
hw,1981-06-14,76430,4.5
hw,1981-06-14,76500,3.2
hw,1981-06-14,161680,4.0
hw,1981-06-14,162420,4.7
hw,1981-06-14,162450,3.9
hw,1981-06-14,77650,2.4
hw,1981-06-14,77800,3.5
hw,1981-06-14,77610,3.9
hw,1981-06-14,165200,3.7
hw,1981-06-14,8416Y,0.6
hw,1981-06-14,8500A,3.1
hw,1981-06-14,9981A,4.2
hw,1981-06-14,0016A,4.2
hw,1981-06-14,76,5.0
hw,1981-06-14,0200E,1.1
hw,1981-06-14,B893,5.3
hw,1981-06-14,B228,2.8
hw,1981-06-14,B278,6.1
hw,1981-06-15,76430,5.8
hw,1981-06-15,161680,3.5
hw,1981-06-15,162420,3.5
hw,1981-06-15,162450,2.4
hw,1981-06-15,162890,2.4
hw,1981-06-15,77650,2.5
hw,1981-06-15,77800,6.2
hw,1981-06-15,77610,3.8
hw,1981-06-15,165600,4.7
hw,1981-06-15,165460,5.5
hw,1981-06-15,165200,4.1
hw,1981-06-15,8416Y,0.0
hw,1981-06-15,8500A,1.9
hw,1981-06-15,9981A,2.8
hw,1981-06-15,0016A,1.9
hw,1981-06-15,76,3.3
hw,1981-06-15,0200E,1.1
hw,1981-06-15,B893,1.9
hw,1981-06-15,B228,1.7
hw,1981-06-15,B278,3.6
hw,1981-06-16,161680,11.1
hw,1981-06-16,162420,4.5
hw,1981-06-16,162450,4.4
hw,1981-06-16,8416Y,0.8
hw,1981-06-16,8500A,2.2
hw,1981-06-16,9981A,1.9
hw,1981-06-16,0016A,3.3
hw,1981-06-16,76,6.1
hw,1981-06-16,0200E,3.6
hw,1981-06-16,B228,1.4
hw,1981-06-16,B278,3.6
hw,1981-06-16,B954,3.1
hw,1981-08-02,77610,4.2
hw,1981-08-03,161680,5.0
hw,1981-08-03,162420,3.1
hw,1981-08-03,162450,3.7
hw,1981-08-03,162890,2.6
hw,1981-08-03,163100,1.2
hw,1981-08-03,77650,2.4
hw,1981-08-03,77610,3.3
hw,1981-08-04,161680,1.1
hw,1981-08-04,162420,4.4
hw,1981-08-04,162450,3.9
hw,1981-08-04,162890,2.9
hw,1981-08-04,163100,1.5
hw,1981-08-04,77650,2.0
hw,1981-08-04,77800,3.4
hw,1981-08-04,77610,2.8
hw,1981-08-04,165600,2.1
hw,1981-08-04,165460,4.6
hw,1981-08-04,B228,2.2
hw,1981-08-04,B278,5.0
hw,1981-08-05,162420,2.7
hw,1981-08-05,162450,2.2
hw,1981-08-05,162890,2.3
hw,1981-08-05,163100,1.3
hw,1981-08-05,77650,3.0
hw,1981-08-05,77800,3.3
hw,1981-08-05,77610,3.7
hw,1981-08-05,165600,2.0
hw,1981-08-05,165460,4.0
hw,1981-08-05,B228,1.1
hw,1981-08-05,B278,3.1
hw,1981-08-06,161680,-1.1
hw,1981-08-06,162420,3.3
hw,1981-08-06,77800,3.3
hw,1981-08-06,77610,3.3
hw,1981-08-06,165600,5.5
hw,1981-08-06,165460,6.9
hw,1981-08-06,B228,2.5
hw,1981-08-06,B278,5.6
hw,1981-08-07,77800,6.1
hw,1981-08-07,165460,7.9
hw,1981-08-08,165460,5.1
hw,1981-08-09,165460,8.2
hw,1982-06-02,161680,-0.4
hw,1982-06-02,162420,3.8
hw,1982-06-02,162450,4.5
hw,1982-06-03,162420,3.8
hw,1982-06-03,162450,3.5
hw,1982-06-08,B893,2.5
hw,1982-06-09,B893,3.1
hw,1982-06-10,B893,3.9
hw,1982-06-11,6155A,9.2
hw,1982-06-11,B893,5.8
hw,1982-06-19,164050,5.2
hw,1982-06-19,165460,3.8
hw,1982-06-20,164290,4.5
hw,1982-06-20,164050,5.0
hw,1982-06-20,165460,5.2
hw,1982-06-21,164290,4.8
hw,1982-06-21,164050,7.3
hw,1982-06-21,7031,4.2
hw,1982-06-21,8025,1.4
hw,1982-06-21,8019,3.6
hw,1982-06-22,162420,3.4
hw,1982-06-22,162450,3.2
hw,1982-06-22,164290,3.7
hw,1982-06-22,164050,5.8
hw,1982-06-22,165460,8.9
hw,1982-06-22,607150,2.3
hw,1982-06-22,7031,5.6
hw,1982-06-23,163100,1.6
hw,1982-06-23,164290,6.0
hw,1982-06-23,164050,3.5
hw,1982-06-23,165600,1.1
hw,1982-06-23,165460,5.3
hw,1982-06-23,7031,4.2
hw,1982-06-23,8025,3.9
hw,1982-06-23,8019,6.9
hw,1982-06-24,162450,8.0
hw,1982-06-24,164290,6.1
hw,1982-06-24,164050,4.3
hw,1982-06-24,165600,4.8
hw,1982-06-24,165460,7.3
hw,1982-06-25,162450,8.3
hw,1982-06-25,162890,3.3
hw,1982-06-25,164290,7.1
hw,1982-06-25,164050,7.0
hw,1982-06-25,165600,0.5
hw,1982-06-25,165460,5.0
hw,1982-06-26,162890,3.7
hw,1982-06-26,163100,1.4
hw,1982-06-26,164290,5.2
hw,1982-06-26,164050,5.3
hw,1982-07-03,77610,3.4
hw,1982-07-03,165200,3.8
hw,1982-07-04,77800,2.8
hw,1982-07-04,165200,3.3
hw,1982-07-04,0200E,5.6
hw,1982-07-05,76430,4.8
hw,1982-07-05,76500,4.4
hw,1982-07-05,77650,2.7
hw,1982-07-05,165600,2.8
hw,1982-07-05,165460,6.7
hw,1982-07-05,165200,3.6
hw,1982-07-05,603900,5.7
hw,1982-07-05,8025,3.3
hw,1982-07-05,0200E,0.0
hw,1982-07-05,B893,3.9
hw,1982-07-05,B228,2.8
hw,1982-07-05,B278,5.8
hw,1982-07-05,B954,4.4
hw,1982-07-06,77470,2.7
hw,1982-07-06,76430,5.2
hw,1982-07-06,165600,2.3
hw,1982-07-06,165460,5.9
hw,1982-07-06,165200,3.2
hw,1982-07-06,8500A,1.4
hw,1982-07-06,9981A,1.9
hw,1982-07-06,0016A,1.7
hw,1982-07-06,76,6.1
hw,1982-07-06,0200E,3.1
hw,1982-07-06,B893,1.7
hw,1982-07-06,B228,1.7
hw,1982-07-06,B278,3.3
hw,1982-07-06,B954,4.4
hw,1982-07-07,7031,2.8
hw,1982-07-07,8025,1.4
hw,1982-07-07,8019,1.9
hw,1982-07-07,8416Y,0.8
hw,1982-07-07,8414A,2.2
hw,1982-07-07,8500A,1.7
hw,1982-07-07,0016A,5.6
hw,1982-07-07,76,3.1
hw,1982-07-07,0200E,0.6
hw,1982-07-07,B893,3.6
hw,1982-07-07,B228,1.4
hw,1982-07-07,B278,2.8
hw,1982-07-07,B954,1.4
hw,1982-07-08,76500,5.2
hw,1982-07-08,77610,3.8
hw,1982-07-08,165460,10.9
hw,1982-07-08,7031,2.5
hw,1982-07-08,8025,2.2
hw,1982-07-08,8019,3.6
hw,1982-07-08,8416Y,1.9
hw,1982-07-08,8414A,5.8
hw,1982-07-08,8500A,3.1
hw,1982-07-08,9981A,2.8
hw,1982-07-08,0016A,3.1
hw,1982-07-08,76,3.1
hw,1982-07-08,0200E,0.0
hw,1982-07-08,B893,6.1
hw,1982-07-08,B228,2.5
hw,1982-07-08,B278,4.7
hw,1982-07-08,B954,2.2
hw,1982-07-09,76500,5.2
hw,1982-07-09,7031,4.4
hw,1982-07-09,8025,1.9
hw,1982-07-09,8019,2.2
hw,1982-07-09,8416Y,0.8
hw,1982-07-09,8414A,3.9
hw,1982-07-09,8500A,3.1
hw,1982-07-09,9981A,2.5
hw,1982-07-09,0016A,4.4
hw,1982-07-09,76,5.6
hw,1982-07-09,0200E,1.9
hw,1982-07-09,B893,4.2
hw,1982-07-09,B228,2.2
hw,1982-07-09,B278,4.7
hw,1982-07-09,B954,3.6
hw,1982-07-10,76500,5.2
hw,1982-07-10,B228,2.8
hw,1982-07-10,B278,5.8
hw,1982-07-10,B954,5.3
hw,1982-07-11,76500,4.0
hw,1982-07-11,B893,2.5
hw,1982-07-11,B228,2.8
hw,1982-07-11,B278,4.2
hw,1982-07-11,B954,5.6
hw,1982-07-12,165460,6.9
hw,1982-07-12,B893,5.3
hw,1982-07-12,B228,3.9
