ID,index,begin_date,end_date,duration,avg_tmax,std_tmax,max_tmax
77470,1981-06-11,1981-06-11,1981-06-16,6,31.5,1.6,33.5
77470,1982-07-06,1982-07-06,1982-07-08,3,35.1,1.5,36.7
77470,1983-06-05,1983-06-05,1983-06-07,3,28.4,0.6,28.8
77470,1983-07-11,1983-07-11,1983-07-14,4,33.7,0.7,34.3
77470,1983-07-29,1983-07-29,1983-07-31,3,34.5,1.0,35.6
77470,1986-06-27,1986-06-27,1986-06-29,3,31.1,0.4,31.3
77470,1987-06-30,1987-06-30,1987-07-02,3,31.0,0.5,31.4
77470,1987-08-12,1987-08-12,1987-08-16,5,34.0,2.3,38.0
77470,1988-08-13,1988-08-13,1988-08-15,3,32.2,0.3,32.5
77470,1989-06-14,1989-06-14,1989-06-16,3,30.8,1.6,32.6
77470,1989-06-20,1989-06-20,1989-06-26,7,31.9,1.2,33.9
77470,1989-07-16,1989-07-16,1989-07-20,5,34.2,1.0,35.2
77470,1989-08-22,1989-08-22,1989-08-26,5,31.9,0.8,32.8
77470,1990-08-03,1990-08-03,1990-08-05,3,34.2,0.7,34.7
77470,1991-08-27,1991-08-27,1991-08-29,3,31.8,1.3,33.1
77470,1993-08-18,1993-08-18,1993-08-21,4,33.8,1.4,35.3
77470,1994-06-29,1994-06-29,1994-07-02,4,32.1,0.5,32.6
77470,1994-07-13,1994-07-13,1994-07-15,3,33.1,0.3,33.4
77470,1996-06-05,1996-06-05,1996-06-07,3,28.0,0.2,28.1
77470,1996-06-11,1996-06-11,1996-06-14,4,30.8,0.3,31.2
77470,2000-08-14,2000-08-14,2000-08-18,5,33.1,0.6,34.0
77470,2001-06-21,2001-06-21,2001-06-25,5,33.2,1.5,34.7
77470,2001-06-29,2001-06-29,2001-07-02,4,32.1,1.1,33.6
77470,2001-07-29,2001-07-29,2001-08-02,5,35.0,1.4,37.0
77470,2001-08-22,2001-08-22,2001-08-29,8,32.8,1.2,34.4
77470,2002-06-21,2002-06-21,2002-06-23,3,32.3,0.9,33.1
77470,2003-06-06,2003-06-06,2003-06-16,11,31.3,2.3,34.7
77470,2003-06-19,2003-06-19,2003-06-26,8,33.5,2.9,38.6
77470,2003-07-07,2003-07-07,2003-07-14,8,34.0,1.4,36.2
77470,2003-08-01,2003-08-01,2003-08-16,16,36.8,2.3,40.3
77470,2003-08-19,2003-08-19,2003-08-28,10,33.1,1.1,35.1
77470,2004-06-27,2004-06-27,2004-06-30,4,31.9,0.8,32.9
77470,2004-07-30,2004-07-30,2004-08-03,5,33.9,0.7,34.7
77470,2005-06-01,2005-06-01,2005-06-03,3,27.1,0.4,27.3
77470,2005-06-17,2005-06-17,2005-06-24,8,32.0,1.3,33.7
77470,2005-08-31,2005-08-31,2005-09-04,5,30.2,0.8,31.5
77470,2006-06-04,2006-06-04,2006-06-06,3,28.1,0.6,28.6
77470,2006-06-28,2006-06-28,2006-07-03,6,32.5,1.7,34.5
77470,2006-07-08,2006-07-08,2006-07-14,7,33.7,1.7,36.3
77470,2006-07-19,2006-07-19,2006-07-27,9,34.8,0.8,36.3
77470,2007-08-26,2007-08-26,2007-08-28,3,31.9,0.8,32.4
77470,2008-06-20,2008-06-20,2008-06-22,3,31.2,0.9,32.2
77470,2008-06-28,2008-06-28,2008-07-02,5,32.8,1.2,34.1
77470,2008-08-03,2008-08-03,2008-08-06,4,34.2,0.4,34.8
77470,2008-08-28,2008-08-28,2008-08-30,3,31.5,0.6,32.0
77470,2009-06-01,2009-06-01,2009-06-04,4,28.9,1.6,30.7
77470,2009-06-28,2009-06-28,2009-07-04,7,33.2,2.0,35.9
77470,2009-08-12,2009-08-12,2009-08-14,3,34.6,1.6,36.3
77470,2009-08-16,2009-08-16,2009-08-23,8,34.4,1.7,36.4
77470,2009-08-30,2009-08-30,2009-09-02,4,29.9,0.4,30.6
77470,2010-06-03,2010-06-03,2010-06-05,3,29.9,1.5,31.1
77470,2010-06-25,2010-06-25,2010-07-04,10,31.9,0.7,32.9
77470,2010-07-07,2010-07-07,2010-07-14,8,33.8,1.4,36.0
77470,2010-07-19,2010-07-19,2010-07-21,3,33.6,0.8,34.3
77470,2010-08-21,2010-08-21,2010-08-23,3,34.9,2.2,36.2
77470,2010-08-25,2010-08-25,2010-08-27,3,34.7,1.8,36.7
77470,2011-08-20,2011-08-20,2011-08-22,3,33.7,0.3,33.9
77470,2012-06-05,2012-06-05,2012-06-07,3,27.9,1.2,29.3
77470,2012-06-24,2012-06-24,2012-06-28,5,32.3,1.4,34.6
77470,2012-08-08,2012-08-08,2012-08-11,4,34.1,1.5,36.2
77470,2012-08-18,2012-08-18,2012-08-24,7,34.0,1.4,36.2
77470,2013-07-05,2013-07-05,2013-07-09,5,32.7,1.0,33.9
77470,2014-06-08,2014-06-08,2014-06-13,6,32.0,1.8,34.3
77470,2015-06-26,2015-06-26,2015-07-07,12,33.5,1.6,36.2
77470,2016-06-07,2016-06-07,2016-06-09,3,30.4,1.2,31.4
77470,2016-07-06,2016-07-06,2016-07-10,5,33.6,0.9,34.7
77470,2016-08-22,2016-08-22,2016-08-28,7,31.9,0.8,33.4
77470,2016-08-31,2016-08-31,2016-09-06,7,33.8,1.8,36.3
77470,2017-06-10,2017-06-10,2017-06-24,15,32.0,1.2,33.9
77470,2017-08-02,2017-08-02,2017-08-05,4,34.3,1.4,36.1
77470,2017-08-28,2017-08-28,2017-08-30,3,32.3,1.6,33.6
77470,2018-07-07,2018-07-07,2018-07-10,4,33.4,0.7,34.5
77470,2018-07-13,2018-07-13,2018-07-15,3,32.9,0.3,33.3
77470,2018-07-25,2018-07-25,2018-07-27,3,35.2,0.6,35.7
77470,2018-07-30,2018-07-30,2018-08-07,9,35.8,1.0,36.9
77470,2018-08-20,2018-08-20,2018-08-23,4,33.5,0.8,34.0
77470,2018-08-27,2018-08-27,2018-08-29,3,31.1,0.9,31.6
77470,2019-06-26,2019-06-26,2019-07-08,13,34.1,1.9,39.7
77470,2019-07-11,2019-07-11,2019-07-13,3,33.2,0.5,33.7
77470,2019-07-22,2019-07-22,2019-07-24,3,34.2,0.9,35.2
77470,2019-08-03,2019-08-03,2019-08-05,3,33.5,0.2,33.7
77470,2019-08-28,2019-08-28,2019-09-01,5,32.8,2.0,35.5
77470,2020-08-25,2020-08-25,2020-08-27,3,32.0,0.2,32.2
77470,2021-06-08,2021-06-08,2021-06-16,9,32.3,2.3,36.1
77470,2021-07-19,2021-07-19,2021-07-23,5,34.7,1.8,37.3
77470,2021-08-11,2021-08-11,2021-08-15,5,34.1,1.3,35.9
76430,1981-06-11,1981-06-11,1981-06-16,6,31.0,1.8,33.2
76430,1982-07-05,1982-07-05,1982-07-08,4,33.4,1.4,34.8
76430,1983-07-12,1983-07-12,1983-07-14,3,33.0,0.8,33.7
76430,1987-07-01,1987-07-01,1987-07-05,5,31.1,0.6,32.0
76430,1989-06-14,1989-06-14,1989-06-16,3,29.4,1.3,30.8
76430,1989-06-21,1989-06-21,1989-06-24,4,30.7,1.2,31.8
76430,1989-08-22,1989-08-22,1989-08-26,5,32.4,0.8,33.5
76430,1990-07-16,1990-07-16,1990-07-18,3,33.4,0.1,33.5
76430,1990-08-03,1990-08-03,1990-08-06,4,32.7,1.0,33.9
76430,1991-06-24,1991-06-24,1991-06-26,3,30.5,0.5,31.0
76430,1991-07-18,1991-07-18,1991-07-22,5,32.5,0.5,33.3
76430,1991-08-15,1991-08-15,1991-08-17,3,32.0,0.8,32.9
76430,1991-08-27,1991-08-27,1991-08-29,3,31.3,1.9,33.0
76430,1993-06-26,1993-06-26,1993-06-28,3,29.9,0.5,30.5
76430,1993-08-17,1993-08-17,1993-08-20,4,33.0,0.9,33.8
76430,1994-06-21,1994-06-21,1994-06-23,3,30.4,0.7,30.9
76430,1994-07-04,1994-07-04,1994-07-06,3,31.2,0.6,31.8
76430,1995-07-17,1995-07-17,1995-07-19,3,32.6,0.2,32.8
76430,1995-07-28,1995-07-28,1995-07-30,3,32.9,0.4,33.2
76430,1995-08-12,1995-08-12,1995-08-14,3,31.7,0.8,32.6
76430,1996-06-11,1996-06-11,1996-06-14,4,30.2,1.4,32.2
76430,1998-06-03,1998-06-03,1998-06-05,3,27.1,1.3,28.2
76430,1998-06-28,1998-06-28,1998-06-30,3,30.4,0.4,30.9
76430,1998-07-23,1998-07-23,1998-07-25,3,32.7,0.4,33.1
76430,2000-06-15,2000-06-15,2000-06-17,3,29.6,0.5,30.1
76430,2000-08-14,2000-08-14,2000-08-16,3,32.9,0.7,33.7
76430,2001-06-21,2001-06-21,2001-06-25,5,31.3,0.8,32.4
76430,2001-06-29,2001-06-29,2001-07-02,4,31.7,1.0,32.9
76430,2001-07-29,2001-07-29,2001-08-01,4,33.4,1.0,34.4
76430,2001-08-22,2001-08-22,2001-08-24,3,32.1,0.3,32.3
76430,2001-08-27,2001-08-27,2001-08-29,3,31.8,0.8,32.5
76430,2002-06-19,2002-06-19,2002-06-26,8,30.5,1.0,32.3
76430,2003-06-12,2003-06-12,2003-06-22,11,31.7,2.2,35.2
76430,2003-06-24,2003-06-24,2003-06-28,5,31.0,1.8,33.0
76430,2003-07-07,2003-07-07,2003-07-12,6,32.6,1.2,34.4
76430,2003-08-02,2003-08-02,2003-08-15,14,34.8,1.3,36.9
76430,2003-08-19,2003-08-19,2003-08-27,9,32.3,0.6,33.2
76430,2004-06-04,2004-06-04,2004-06-06,3,27.0,0.6,27.7
76430,2004-06-16,2004-06-16,2004-06-18,3,30.0,0.6,30.5
76430,2004-06-28,2004-06-28,2004-07-01,4,31.1,1.2,32.8
76430,2005-06-15,2005-06-15,2005-06-23,9,30.1,1.0,31.5
76430,2005-07-20,2005-07-20,2005-07-22,3,32.4,0.0,32.4
76430,2006-06-21,2006-06-21,2006-06-23,3,29.9,0.9,31.0
76430,2006-06-28,2006-06-28,2006-07-02,5,32.5,0.8,33.3
76430,2006-07-10,2006-07-10,2006-07-14,5,33.2,1.1,34.5
76430,2006-07-21,2006-07-21,2006-07-26,6,33.1,1.1,34.6
76430,2006-07-29,2006-07-29,2006-07-31,3,33.2,0.5,33.7
76430,2008-06-25,2008-06-25,2008-06-30,6,31.4,0.3,31.8
76430,2008-08-03,2008-08-03,2008-08-06,4,32.9,0.7,33.8
76430,2009-06-01,2009-06-01,2009-06-04,4,27.6,1.1,29.1
76430,2009-06-16,2009-06-16,2009-06-19,4,29.5,0.2,29.8
76430,2009-06-25,2009-06-25,2009-07-05,11,31.2,1.4,32.8
76430,2009-08-11,2009-08-11,2009-08-14,4,32.9,1.2,34.3
76430,2009-08-16,2009-08-16,2009-08-23,8,32.5,1.0,33.8
76430,2010-06-02,2010-06-02,2010-06-04,3,26.4,0.7,27.1
76430,2010-06-28,2010-06-28,2010-06-30,3,31.7,0.4,32.1
76430,2010-07-04,2010-07-04,2010-07-07,4,32.5,0.5,33.1
76430,2012-06-23,2012-06-23,2012-06-27,5,31.3,1.5,33.2
76430,2012-07-17,2012-07-17,2012-07-19,3,32.4,0.2,32.5
76430,2012-08-09,2012-08-09,2012-08-11,3,33.0,0.5,33.6
