ID,year,hwn,hwf,hwd,hwdm,hwm,hwma,hwa,hwaa
77470,1981,1,6,6.0,6.0,4.5,31.5,6.5,33.5
77470,1982,1,3,3.0,3.0,8.1,35.1,9.7,36.7
77470,1983,3,10,4.0,3.3,5.2,32.2,8.6,35.6
77470,1984,0,0,,,,,,
77470,1985,0,0,,,,,,
77470,1986,1,3,3.0,3.0,4.1,31.1,4.3,31.3
77470,1987,2,8,5.0,4.0,5.5,32.5,11.0,38.0
77470,1988,1,3,3.0,3.0,5.2,32.2,5.5,32.5
77470,1989,4,20,7.0,5.0,5.2,32.2,8.2,35.2
77470,1990,1,3,3.0,3.0,7.2,34.2,7.7,34.7
77470,1991,1,3,3.0,3.0,4.8,31.8,6.1,33.1
77470,1992,0,0,,,,,,
77470,1993,1,4,4.0,4.0,6.8,33.8,8.3,35.3
77470,1994,2,7,4.0,3.5,5.6,32.6,6.4,33.4
77470,1995,0,0,,,,,,
77470,1996,2,7,4.0,3.5,2.4,29.4,4.2,31.2
77470,1997,0,0,,,,,,
77470,1998,0,0,,,,,,
77470,1999,0,0,,,,,,
77470,2000,1,5,5.0,5.0,6.1,33.1,7.0,34.0
77470,2001,4,22,8.0,5.5,6.3,33.3,10.0,37.0
77470,2002,1,3,3.0,3.0,5.3,32.3,6.1,33.1
77470,2003,5,53,16.0,10.6,6.7,33.7,13.3,40.3
77470,2004,2,9,5.0,4.5,5.9,32.9,7.7,34.7
77470,2005,3,16,8.0,5.3,2.8,29.8,6.7,33.7
77470,2006,4,25,9.0,6.2,5.3,32.3,9.3,36.3
77470,2007,1,3,3.0,3.0,4.9,31.9,5.4,32.4
77470,2008,4,15,5.0,3.8,5.4,32.4,7.8,34.8
77470,2009,5,26,8.0,5.2,5.2,32.2,9.4,36.4
77470,2010,6,30,10.0,5.0,6.1,33.1,9.7,36.7
77470,2011,1,3,3.0,3.0,6.7,33.7,6.9,33.9
77470,2012,4,19,7.0,4.8,5.1,32.1,9.2,36.2
77470,2013,1,5,5.0,5.0,5.7,32.7,6.9,33.9
77470,2014,1,6,6.0,6.0,5.0,32.0,7.3,34.3
77470,2015,1,12,12.0,12.0,6.5,33.5,9.2,36.2
77470,2016,4,22,7.0,5.5,5.4,32.4,9.3,36.3
77470,2017,3,22,15.0,7.3,5.9,32.9,9.1,36.1
77470,2018,6,26,9.0,4.3,6.6,33.6,9.9,36.9
77470,2019,5,27,13.0,5.4,6.6,33.6,12.7,39.7
77470,2020,1,3,3.0,3.0,5.0,32.0,5.2,32.2
77470,2021,3,19,9.0,6.3,6.7,33.7,10.3,37.3
76430,1981,1,6,6.0,6.0,4.1,31.0,6.3,33.2
76430,1982,1,4,4.0,4.0,6.5,33.4,7.9,34.8
76430,1983,1,3,3.0,3.0,6.1,33.0,6.8,33.7
76430,1984,0,0,,,,,,
76430,1985,0,0,,,,,,
76430,1986,0,0,,,,,,
76430,1987,1,5,5.0,5.0,4.2,31.1,5.1,32.0
76430,1988,0,0,,,,,,
76430,1989,3,12,5.0,4.0,3.9,30.8,6.6,33.5
76430,1990,2,7,4.0,3.5,6.1,33.0,7.0,33.9
76430,1991,4,14,5.0,3.5,4.7,31.6,6.4,33.3
76430,1992,0,0,,,,,,
76430,1993,2,7,4.0,3.5,4.5,31.4,6.9,33.8
