dates,77470,76430,76500,76900,161530,161680,162420,162450,162890,163100,164290,164050,77650,77800,77610,165600,165460,165200,604900,603900,604020,603600,607150,6155A,6325O,7031,8019,8025,8414A,8416Y,8500A,9981A,0016A,76,0200E,B893,B278,B228,B954
1981-01-01,-0.015968546,-0.027765226,-0.041404273,-0.031103615,-0.04843699,-0.028518297,-0.033107776,-0.043787725,-0.016426984,-0.029745137,-0.011993408,-0.010023832,-0.04388654,-0.033949196,-0.034213435,-0.0056159785,-0.0056159785,-0.013065943,-0.022949954,-0.018202577,-0.007364333,-0.020588111,-0.015375468,0.003381929,-0.0146142775,-0.01804087,-0.013436085,-0.014643303,-0.012123413,-0.012123413,-0.013271507,-0.008784887,-0.011341986,-0.011600602,-0.011600602,-0.003148475,0.0029436748,0.0029436748,0.006814109
1981-02-01,-0.015341494,-0.023404244,-0.03459258,-0.023898907,-0.039173294,-0.014607747,-0.020955028,-0.033256978,-0.008538788,-0.020382576,-0.0066522537,-0.0067386627,-0.034420438,-0.01959692,-0.022779576,-0.002188036,-0.002188036,-0.004735886,-0.0113685345,-0.007784299,-0.0012400885,-0.010045814,-0.0053328453,0.004912846,-0.0121363485,-0.013303544,-0.0076646837,-0.008816867,-0.0070772297,-0.0070772297,-0.009682192,-0.008103063,-0.01147594,-0.013006803,-0.013006803,-0.0031773495,0.003660075,0.003660075,0.009500716
1981-03-01,-0.0058870097,-0.012262197,-0.02440747,-0.0062641758,-0.02805807,0.000325369,-0.0065888437,-0.016836599,0.011397119,-2.6486954e-05,0.0072987634,0.0066144466,-0.016353749,0.008299944,-0.0028474696,0.0059899306,0.0059899306,0.007611305,0.007914155,0.010146742,0.018525321,0.009806347,0.010584717,0.012525189,0.00071745843,-0.0012134976,0.00068182434,0.00024326869,0.002467041,0.002467041,-0.0023891437,0.00949713,-0.0001339541,-0.0020857186,-0.0020857186,-0.0011214036,0.02787908,0.02787908,0.024257872
1981-04-01,-0.008413408,-0.008074932,-0.014587296,-0.0011817194,-0.023455223,0.007299167,-0.003918907,-0.011512307,0.009830549,-0.0006346793,0.011869313,0.010279417,-0.0074242484,0.007393108,-0.0037378648,0.012718238,0.012718238,0.007915652,0.0063029323,0.009085879,0.013629458,0.010880947,0.012179566,0.0073750815,-0.003900737,-0.008144379,-0.002836942,-0.0015604655,-0.0005980428,-0.0005980428,-0.0030978608,0.0020394092,-0.0010538547,-0.0038200547,-0.0038200547,-0.004499934,0.014500427,0.014500427,0.01621098
1981-05-01,-0.0074454937,-0.013029049,-0.012047532,-0.0017423568,-0.022033123,0.011334775,-0.00205846,-0.0073188334,0.020210715,0.0061446857,0.015102586,0.013236284,-0.008583351,0.016422512,0.00107745,0.013566031,0.013566031,0.011636863,0.021693157,0.0230447,0.02443201,0.018175984,0.018122965,0.018731399,0.005944529,0.002706104,0.0049008047,0.0060816207,0.0065228273,0.0065228273,-0.00036005143,0.008395316,-0.0017526216,-0.0024372926,-0.0024372926,-0.004255559,0.031554922,0.031554922,0.027100245
1981-06-01,-0.0055461475,-0.008524284,-0.008179243,-0.0018569455,-0.016757088,0.015444779,0.0033417451,-0.0029840549,0.023005018,0.00985617,0.026821336,0.023625255,0.0018689191,0.03201706,0.0041997572,0.017513815,0.017513815,0.01896053,0.028601917,0.027097192,0.028604856,0.021849632,0.020322165,0.030621726,0.017182676,0.014043384,0.016339926,0.018861897,0.019611817,0.019611817,0.013734497,0.018038474,0.011901,0.010147621,0.010147621,-0.002415349,0.03632075,0.03632075,0.027022468
1981-07-01,-0.005710465,-0.008152888,-0.009930973,-0.0039128456,-0.020158377,0.015602833,0.0034795664,-0.0046253363,0.022757735,0.0061183427,0.019912213,0.01840508,-0.0022670606,0.033870324,0.0081246765,0.014824249,0.014824249,0.017784981,0.034524746,0.031303983,0.027035695,0.018222619,0.01877716,0.030206395,0.013872701,0.01373185,0.020595388,0.020541042,0.01821635,0.01821635,0.015603442,0.011938337,0.0063697128,0.0046344628,0.0046344628,-0.0019695575,0.03266042,0.03266042,0.026490318
1981-08-01,-0.005789592,-0.0067809667,-0.010054745,-0.004093687,-0.018939475,0.012627293,0.0040738857,-0.0044762106,0.019807704,0.0042845528,0.017618189,0.015828013,-0.0024747495,0.028981397,0.0039687213,0.020604426,0.020604426,0.019307133,0.023819916,0.021311441,0.021346373,0.012440491,0.016160483,0.020101978,0.01240766,0.007047653,0.014903115,0.015788438,0.014634196,0.014634196,0.010613771,0.010227663,0.0046869675,0.0025895934,0.0025895934,-0.0006326529,0.03339259,0.03339259,0.026023017
1981-09-01,-0.010714652,-0.016617212,-0.017211596,-0.007548277,-0.025266185,0.0022130557,-0.0073209843,-0.012784557,0.013394374,-0.0026800768,0.008538847,0.00765121,-0.0132386945,0.012696343,-0.0067393584,0.010457258,0.010457258,0.011780475,0.015267628,0.012682018,0.012577369,0.0045848847,0.008634745,0.019550238,0.0067042196,0.0016224119,0.0074698483,0.007280138,0.0072017414,0.0072017414,0.0024347801,0.0054852115,-0.0032489337,-0.005015215,-0.005015215,-0.0020273062,0.026181284,0.026181284,0.021791883
1981-10-01,-0.010227663,-0.020654727,-0.022629688,-0.011256163,-0.032091983,-0.004212185,-0.015546104,-0.019451622,0.0094733145,-0.0039318735,0.010726712,0.008607626,-0.026736788,0.0055594784,-0.0069702147,0.0024798138,0.0024798138,0.0069092624,0.011394422,0.009597829,0.009627048,0.0043920516,0.009027202,0.014453513,0.00022907872,-0.0040624407,0.0021551175,0.0009374225,0.0017443848,0.0017443848,-0.0028920772,0.0022891166,-0.008850003,-0.011085056,-0.011085056,-0.0045288084,0.02060547,0.02060547,0.019455591
1981-11-01,-0.004121563,-0.017108427,-0.024922015,-0.019654501,-0.03180178,-0.019340705,-0.02278102,-0.028231196,-0.007017846,-0.019677216,-0.004446599,-0.0048695803,-0.02601002,-0.014549609,-0.021141501,-0.0013402427,-0.0013402427,-0.00624119,-0.0062449486,-0.004138909,-0.0007522871,-0.00610342,-0.003108724,0.010229007,-0.009375098,-0.012719578,-0.0034822843,-0.006627546,-0.005862427,-0.005862427,-0.0069158245,-0.0060757813,-0.009985427,-0.008835174,-0.008835174,-0.0023291954,0.0057314555,0.0057314555,0.011590322
1981-12-01,-0.018087182,-0.030832242,-0.042524382,-0.028691938,-0.051791836,-0.021330573,-0.032177623,-0.041800875,-0.012890535,-0.0218372,-0.011842845,-0.010089636,-0.049320646,-0.029395059,-0.02611084,-0.00678309,-0.00678309,-0.007196901,-0.010711249,-0.011904776,-0.0027799786,-0.009911442,-0.004815674,-0.0018451994,-0.016682187,-0.023913912,-0.01816631,-0.017182752,-0.01718221,-0.01718221,-0.02017016,-0.010300727,-0.021886332,-0.023705078,-0.023705078,-0.002041626,0.003940328,0.003940328,0.009980943
1982-01-01,-0.01238288,-0.022757407,-0.03410419,-0.020263376,-0.04200574,-0.025189452,-0.024391562,-0.032848712,-0.013550104,-0.023247773,-0.0064042076,-0.0050302744,-0.033503216,-0.019182937,-0.020844763,-0.0013950255,-0.0013950255,-0.0054884693,-0.015738126,-0.011966516,-0.005830297,-0.0124229435,-0.006585083,-0.0047466946,-0.015397988,-0.019299826,-0.012967287,-0.015195138,-0.014621786,-0.014621786,-0.015243391,-0.008139545,-0.011871908,-0.014547701,-0.014547701,-0.0034503643,0.007257843,0.007257843,0.011681027
1982-02-01,-0.0132655045,-0.017276177,-0.031186732,-0.014385199,-0.035028968,-0.020651747,-0.021911059,-0.030296389,-0.012322519,-0.023529917,-0.0070242495,-0.007475972,-0.03113245,-0.020818911,-0.024901446,0.00068374263,0.00068374263,-0.005505454,-0.012451382,-0.008006383,-0.0027799786,-0.010080909,-0.005108541,0.001613847,-0.014210264,-0.01754125,-0.010008573,-0.010893516,-0.010541077,-0.010541077,-0.01138539,-0.0094362935,-0.013385713,-0.014494893,-0.014494893,-0.0036231407,0.0044075013,0.0044075013,0.008721882
1982-03-01,-0.014531834,-0.021080017,-0.031128142,-0.013378316,-0.037699066,-0.0069458615,-0.015348092,-0.024909396,-0.0034172207,-0.013285655,-0.0039860876,-0.0045849085,-0.028813398,-0.009975836,-0.017458567,0.0020969298,0.0020969298,-0.00027051553,2.5782092e-05,0.0013939382,0.0067589716,-0.004386234,-0.0009033203,0.011071486,-0.0063666557,-0.0054382747,0.0020759907,0.00016014463,0.0019375611,0.0019375611,-0.001903289,0.00018877159,-0.005542886,-0.007065824,-0.007065824,-0.0026165303,0.010933685,0.010933685,0.01632754
1982-04-01,-0.006014846,-0.01075862,-0.018116808,-0.002791374,-0.026177447,0.005737153,-0.0043236515,-0.012187669,0.0049380134,-0.0065238522,0.005102076,0.003679514,-0.014121162,0.006427362,-0.0083995145,0.008761373,0.008761373,0.007137661,-0.00092152564,0.0031705045,0.007852134,-0.0012324334,0.0030152386,0.011332582,-0.0012057397,-0.0022258759,0.0060452637,0.005280607,0.00570048,0.00570048,0.002794925,0.008949205,0.0031149795,-0.00066784705,-0.00066784705,-0.0011357234,0.022100575,0.022100575,0.020234426
1982-05-01,-0.005089477,-0.007451962,-0.00931892,0.0021041378,-0.022630963,0.014914745,0.0015589279,-0.0065179393,0.020650377,0.0056421533,0.0126044825,0.009972811,1.723678e-05,0.024485849,0.001934994,0.01679345,0.01679345,0.012998417,0.014230136,0.014088344,0.016203778,0.0076102256,0.010391642,0.021751476,0.0066922097,0.00426356,0.011956727,0.012513272,0.012540894,0.012540894,0.00743593,0.012827224,0.004366771,0.0006620114,0.0006620114,-0.00051762507,0.03370412,0.03370412,0.024218878
